City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
3,Cabedelo,BR,83.07,broken clouds,-6.9811,-34.8339,Hotel Pigalle
7,Saint George,US,72.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
10,Atuona,PF,78.51,clear sky,-9.8,-139.0333,Villa Enata
11,Cidreira,BR,70.2,few clouds,-30.1811,-50.2056,Hotel Castelo
14,Victoria Point,AU,74.08,clear sky,-27.5833,153.3,Bay Retreat Motel
18,Clarence Town,AU,70.34,overcast clouds,-32.5833,151.7833,River Downs Cottage
27,Indramayu,ID,81.46,very heavy rain,-6.3264,108.32,Grand Trisula Hotel
28,Saint-Philippe,RE,78.35,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
30,Araguacu,BR,84.58,light rain,-12.9306,-49.8264,Hotel Tocantins
34,Manokwari,ID,77.95,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
35,Rikitea,PF,76.41,scattered clouds,-23.1203,-134.9692,People ThankYou
36,Souillac,MU,78.37,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
40,Kapaa,US,76.98,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
43,Kefamenanu,ID,75.06,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
53,Hilo,US,80.8,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
54,Alice Springs,AU,71.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
55,Touros,BR,85.1,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
56,Kirakira,SB,80.2,overcast clouds,-10.4544,161.9205,SanBiz Lodge
60,Vaini,TO,80.76,light rain,-21.2,-175.2,Keleti Beach Resort
62,French Harbor,HN,84.2,scattered clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
63,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
65,Lethem,GY,87.37,overcast clouds,3.3803,-59.7968,Savannah Inn
72,Manggar,ID,79.75,overcast clouds,-2.8833,108.2667,Guest Hotel
75,Laguna,US,76.23,fog,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
76,Basco,PH,72.03,broken clouds,20.4487,121.9702,Nathaniel's Lodge
78,Butaritari,KI,82.89,broken clouds,3.0707,172.7902,Isles Sunset Lodge
81,Hithadhoo,MV,81.45,clear sky,-0.6,73.0833,Scoop Guest House
84,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
85,Labuhan,ID,79.05,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
87,Auki,SB,78.64,overcast clouds,-8.7676,160.7034,Auki Motel
89,Bengkulu,ID,76.78,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
90,Atar,MR,71.28,overcast clouds,20.5169,-13.0499,Oumou Elghoura
91,Binulasan,PH,75.83,overcast clouds,14.7317,121.6986,Blue Pavilion Beach Resort
94,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
98,Diffa,NE,77.0,few clouds,13.3154,12.6113,ProDAF/Diffa
105,Liwale,TZ,70.2,clear sky,-9.7667,37.9333,Samoma lodge
109,Kavaratti,IN,81.27,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
110,Bonthe,SL,80.82,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
111,Cap Malheureux,MU,78.48,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
113,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
115,Warri,NG,80.53,overcast clouds,5.5167,5.75,BON Hotel Delta
117,Vila Velha,BR,75.15,mist,-20.3297,-40.2925,Quality Suites Vila Velha
123,Port Keats,AU,84.47,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
124,Marsh Harbour,BS,74.03,broken clouds,26.5412,-77.0636,Abaco Beach Resort
126,San Patricio,US,84.61,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
130,Saint-Joseph,RE,77.36,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
131,Vangaindrano,MG,73.36,scattered clouds,-23.35,47.6,Hotel Fanilo
136,Inhambane,MZ,76.3,few clouds,-23.865,35.3833,Oceano
137,Bitung,ID,76.05,heavy intensity rain,1.4451,125.1824,K2 Lembeh
138,Kanigoro,ID,73.51,light rain,-8.13,112.219,Musafer Villa ( Villa Erlin )
141,Huarmey,PE,72.46,few clouds,-10.0681,-78.1522,Hotel Miramar
142,Sur,OM,73.42,clear sky,22.5667,59.5289,Sur Plaza Hotel
144,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
145,Buala,SB,80.06,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
149,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
151,Loa Janan,ID,74.5,overcast clouds,-0.583,117.095,PONDOK COKLAT HATTA CAB. LOA JANAN ILIR
152,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
157,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
166,Lumberton,US,80.1,clear sky,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
168,Niquelandia,BR,79.56,moderate rain,-14.4739,-48.4597,Hotel Suinã
171,The Valley,AI,84.06,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
173,Honiara,SB,79.25,overcast clouds,-9.4333,159.95,Heritage Park Hotel
177,Sola,VU,81.73,broken clouds,-13.8833,167.55,Leumerus Bungalows
178,Tefe,BR,86.11,scattered clouds,-3.3542,-64.7114,Aracati Hotel
179,Padang,ID,78.3,light rain,-0.9492,100.3543,Mercure Padang
180,Faanui,PF,81.5,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
187,Biloxi,US,77.72,clear sky,30.396,-88.8853,IP Casino Resort Spa
194,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
196,Castro,BR,70.75,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
197,Nelson Bay,AU,70.11,broken clouds,-32.7167,152.15,Mantra Nelson Bay
198,Vanimo,PG,77.5,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
199,Canto Do Buriti,BR,84.54,overcast clouds,-8.11,-42.9444,Novo Hotel
202,Harper,LR,79.52,broken clouds,4.375,-7.7169,Screensaver
204,La Palma,US,73.96,haze,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
207,High Rock,BS,75.22,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
209,Owensboro,US,75.16,clear sky,37.7742,-87.1133,Courtyard by Marriott Owensboro
210,Chimbote,PE,70.81,scattered clouds,-9.0853,-78.5783,Hotel Viera Chimbote
216,Cartagena,CO,87.42,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
217,Samana,DO,84.42,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
219,Catalao,BR,78.69,overcast clouds,-18.1658,-47.9464,Mara Turismo Hotel
222,Puerto Cabezas,NI,75.16,scattered clouds,14.0351,-83.3888,Cabaña Caribe
224,Mahebourg,MU,78.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
226,Villa Carlos Paz,AR,80.89,scattered clouds,-31.4241,-64.4978,Monte Carlo
227,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
228,Port-Gentil,GA,76.96,moderate rain,-0.7193,8.7815,Fengshui Residence
229,Majene,ID,77.9,light rain,-3.5403,118.9707,Kost Putri RABBANI
233,Sao Joao Da Barra,BR,71.69,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
236,Ca Mau,VN,71.1,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
241,Maiduguri,NG,75.96,clear sky,11.8464,13.1603,Kagel Mari Police Station
244,Yerraguntla,IN,72.37,broken clouds,14.6372,78.5395,M Y R Lodge
245,Porto Belo,BR,76.96,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
247,Lorengau,PG,82.38,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
248,Bairiki,KI,84.2,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
249,Sabang,ID,78.84,moderate rain,5.8933,95.3214,Hotel Citra
251,Poum,NC,79.39,scattered clouds,-20.2333,164.0167,Gîte kajeon
253,Meulaboh,ID,76.1,overcast clouds,4.1363,96.1285,Kost Pria
254,Tomatlan,MX,89.1,clear sky,19.9333,-105.25,El Salvial
256,Ambilobe,MG,77.43,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
261,Tautira,PF,86.02,clear sky,-17.7333,-149.15,Pension Oaoa
262,Praia,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
263,Ixtapa,MX,81.63,clear sky,20.7,-105.2,Hotel Plaza Providencia
264,Kahului,US,75.85,light rain,20.8947,-156.47,Maui Seaside Hotel
265,Geraldton,AU,73.13,clear sky,-28.7667,114.6,Broadwater Mariner Resort
266,Pedernales,DO,82.9,overcast clouds,18.0384,-71.744,Hotel Costa Marina
269,Axim,GH,80.26,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
271,Namatanai,PG,80.29,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
273,Cairns,AU,80.55,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
275,Santiago,CL,84.16,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
278,Hobyo,SO,78.85,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
282,Cockburn Town,TC,79.97,clear sky,21.4612,-71.1419,Osprey Beach Hotel
283,Charters Towers,AU,75.25,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
284,Piacabucu,BR,81.88,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
288,Bambous Virieux,MU,78.22,few clouds,-20.3428,57.7575,Casa Tia Villa
289,Vega De Alatorre,MX,77.76,scattered clouds,20.0333,-96.6333,El Polo Norte
290,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
291,Sao Filipe,CV,75.52,broken clouds,14.8961,-24.4956,Hotel Xaguate
292,Soyo,AO,79.36,overcast clouds,-6.1349,12.3689,Hotel Mpampa
293,Santarem,BR,82.53,few clouds,-2.4431,-54.7083,Ecotur Lodge
295,Parrita,CR,87.57,scattered clouds,9.5201,-84.3225,Beso del Viento
296,Isangel,VU,73.51,few clouds,-19.55,169.2667,Tanna Lodge
297,Santa Helena,BR,80.96,broken clouds,-2.2311,-45.3,Turi Plaza Hotel
299,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
301,Galle,LK,77.56,overcast clouds,6.0367,80.217,Amangalla
307,Noumea,NC,81.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
313,Rocha,UY,70.61,broken clouds,-34.4833,-54.3333,Hotel Arrarte
317,Kudahuvadhoo,MV,82.31,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
322,Makakilo City,US,79.12,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
323,Rio Grande,BR,77.11,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
326,Dibulla,CO,87.58,overcast clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
327,Kailua,US,80.58,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
328,Port Blair,IN,79.32,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
331,Santa Maria Del Oro,MX,73.71,few clouds,25.9333,-105.3667,Hotel Palacio Del Sol
334,Diamantino,BR,83.77,overcast clouds,-14.4086,-56.4461,Hotel Delta
338,Chokwe,MZ,76.5,light rain,-24.5333,32.9833,Complexo Sonho Real
345,Gizo,SB,82.65,overcast clouds,-8.103,156.8419,Imagination Island
349,Kavieng,PG,82.24,broken clouds,-2.5744,150.7967,Nusa Island Retreat
353,Sainte-Marie,RE,78.93,scattered clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
355,Jacmel,HT,84.04,overcast clouds,18.2342,-72.5347,Historic Hotel Florita
360,Kupang,ID,79.77,heavy intensity rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
364,Morgan City,US,78.01,few clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
369,Benjamin Hill,MX,72.84,clear sky,30.1667,-111.1,Hotel Benjamín Hill
373,Mandera,KE,86.99,few clouds,3.9366,41.867,Mwalimu Guest mandera
375,Bartlesville,US,77.56,clear sky,36.7473,-95.9808,Hilton Garden Inn Bartlesville
376,Itapui,BR,89.6,clear sky,-22.2333,-48.7192,Camping Municipal de Itapuí
377,Namibe,AO,73.9,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
382,Houma,US,79.0,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
384,Kaoma,ZM,76.55,broken clouds,-14.7833,24.8,KAOMA AIRPORT
385,San Ignacio,BZ,84.34,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
391,Sao Jose Da Coroa Grande,BR,81.48,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
394,Coronado,US,76.48,scattered clouds,32.6859,-117.1831,El Cordova Hotel
396,Kralendijk,BQ,84.18,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
397,Muncar,ID,75.85,overcast clouds,-8.4333,114.3333,Zaky Homestay
401,Alofi,NU,80.49,light rain,-19.0595,-169.9187,Taloa Heights
403,Karratha,AU,84.15,clear sky,-20.7377,116.8463,ibis Styles Karratha
405,Sao Tome,ST,78.89,overcast clouds,0.3365,6.7273,Pestana Miramar São Tomé
406,Luganville,VU,80.67,broken clouds,-15.5333,167.1667,The Espiritu Hotel
407,Wamba,NG,78.76,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
411,Mitsamiouli,KM,80.82,few clouds,-11.3847,43.2844,Foyer ADM
413,Quatre Cocos,MU,78.1,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
420,Cotonou,BJ,84.18,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
422,Tonantins,BR,86.92,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
424,Aparecida Do Taboado,BR,88.59,scattered clouds,-20.0867,-51.0936,Aritana
431,Buritizeiro,BR,81.12,overcast clouds,-17.3511,-44.9622,Santos Palace Hotel
434,Caravelas,BR,77.97,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
436,Douentza,ML,81.59,clear sky,14.9951,-2.9517,Ogomono Doumbo
438,Cayenne,GF,78.1,fog,4.9333,-52.3333,Hôtel Le Dronmi
447,San Policarpo,PH,78.82,overcast clouds,12.1791,125.5072,Agapita M. Nicart
448,Tambilil,PH,79.07,overcast clouds,5.9622,124.6697,Wilfredo Sotto Home
449,Valle Hermoso,MX,84.34,few clouds,25.6667,-97.8333,MAQUINARIA Y TRANSPORTE DE CARGA
452,Varzelandia,BR,75.76,overcast clouds,-15.7014,-44.0275,Pousada Portal da Cidade
453,Kinshasa,CD,76.6,light rain,-4.3246,15.3215,Flat Hotel Alhdeef
456,Camopi,GF,76.96,light rain,3.1655,-52.3158,La pousada
459,Grand Gaube,MU,78.39,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
460,Liku,ID,77.72,overcast clouds,-0.7275,119.8922,Wahyu
461,Yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
462,Rincon,US,81.86,few clouds,32.296,-81.2354,Days Inn Rincon
463,Tshikapa,CD,72.03,light rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
466,Mongo,TD,82.13,clear sky,12.1844,18.693,Résidences du Programme FIDA
469,Jacareacanga,BR,81.34,broken clouds,-6.2222,-57.7528,Casa do Ian😎
471,Palmares Do Sul,BR,71.55,broken clouds,-30.2578,-50.5097,Restaurante e Pensão Lopes
473,Samarai,PG,81.0,broken clouds,-10.6167,150.6667,Nuli Sapi
474,Nabire,ID,76.46,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
475,Imbituba,BR,73.29,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
477,Iacu,BR,79.88,moderate rain,-12.7672,-40.2117,Pousada e Restaurante Portal da Chapada
484,San Andres,CO,84.22,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
487,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,Hotel Fórum
490,Castanos,MX,84.34,few clouds,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
497,Banjar,ID,80.46,overcast clouds,-8.19,114.9675,The Hamsa Resort
499,Salinopolis,BR,81.23,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
502,Portales,US,70.34,clear sky,34.1862,-103.3344,"Holiday Inn Express & Suites Portales, an IHG Hotel"
506,Robertsport,LR,82.22,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
520,Porciuncula,BR,73.11,broken clouds,-20.9628,-42.0408,Pousada Cordeiro
522,Sawakin,SD,79.92,few clouds,19.1059,37.3321,فندق الدويم
524,Bowen,AU,77.22,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
526,Dingle,PH,73.04,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
527,Luangwa,ZM,83.95,scattered clouds,-15.6167,30.4167,Gerasimos Safari Lodge
528,Chiredzi,ZW,84.29,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
530,Chimbarongo,CL,82.78,clear sky,-34.7,-71.05,Hostal Ruka Kamañ
535,Waingapu,ID,79.41,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
536,Marogong,PH,71.42,broken clouds,7.6667,124.15,A.S Mohammads property
537,Itamaraju,BR,76.08,broken clouds,-17.0392,-39.5311,Hotel Vista Bela
542,San Isidro,PE,71.26,dust,-12.1167,-77.05,Soul Mate-Inn
548,Nuevo Progreso,MX,85.59,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
549,Kinablangan,PH,75.87,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
552,Banting,MY,77.14,overcast clouds,2.8167,101.5,Hotel Intan Jugra
556,Bubaque,GW,82.04,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
562,Saint-Pierre,RE,78.44,clear sky,-21.3393,55.4781,Lindsey Hôtel
563,Vallenar,CL,84.51,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
565,Vilhena,BR,80.82,light rain,-12.7406,-60.1458,Hotel Mirage
568,Lelydorp,SR,86.09,few clouds,5.7,-55.2333,SCSV BagunMuda veld
571,Tual,ID,83.19,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
573,Turlock,US,74.14,haze,37.4947,-120.8466,Days Inn by Wyndham Turlock
578,Tarkwa,GH,77.22,light rain,5.3064,-1.9847,Te Deum Lodge
583,Oussouye,SN,78.98,overcast clouds,12.485,-16.5469,Auberge du Routard
590,Key Largo,US,80.6,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
596,Kulhudhuffushi,MV,81.75,scattered clouds,6.6221,73.07,Haajy Guest House 1
597,Boca Do Acre,BR,84.4,broken clouds,-8.7522,-67.3978,Hotel Sao Pedro
600,Santa Maria,BR,83.5,clear sky,-29.6842,-53.8069,Hotel Morotin
603,Kieta,PG,81.59,clear sky,-6.2167,155.6333,Uruna Bay Retreat
605,San Pedro,PH,75.31,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
606,Cozumel,MX,82.94,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
608,Russell,US,76.28,overcast clouds,32.3502,-85.1999,Macs
611,Matadi,CD,78.22,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
612,Bulnes,CL,79.56,clear sky,-36.7423,-72.2985,Casa de Adobe
613,Weligama,LK,76.6,overcast clouds,5.9667,80.4167,Weligama Bay Resort
619,Mbandaka,CD,73.11,light rain,0.0487,18.2603,Guest House Epervier
621,Conde,BR,81.86,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
625,Sao Desiderio,BR,77.85,overcast clouds,-12.3633,-44.9733,Hotel azaf
626,Florida,US,76.95,clear sky,28.7505,-82.5001,Sportsmens Cove
627,Iaciara,BR,75.92,light rain,-14.0958,-46.6317,Hotel Matinha
629,Batticaloa,LK,77.47,overcast clouds,7.7102,81.6924,Grand Star Guest House
630,Eyl,SO,76.96,clear sky,7.9803,49.8164,Amiin Hotel
637,Itarema,BR,81.32,moderate rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
642,Pundaguitan,PH,79.59,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
645,Maracaibo,VE,85.26,overcast clouds,10.6317,-71.6406,Motel Aladdin
646,Loiza,PR,84.87,scattered clouds,18.4313,-65.8802,Malibu Beachfront
647,Mananjary,MG,74.62,few clouds,-21.2167,48.3333,Vahiny Lodge
649,Abu Dhabi,AE,76.96,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
652,Sertania,BR,89.28,overcast clouds,-8.0736,-37.2644,Hotel Esperança
654,Moa,CU,79.86,scattered clouds,20.6569,-74.9403,Carmen
655,Biak,ID,76.89,overcast clouds,-0.9131,122.8766,Penginapan Kim
658,Yerbabuena,MX,77.72,broken clouds,20.9667,-101.2667,Holiday Inn Express Guanajuato
665,Barabai,ID,74.97,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
669,Betioky,MG,77.76,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
671,Kendari,ID,75.56,overcast clouds,-3.945,122.4989,Hotel Wixel
676,Miranda,CO,77.13,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
680,Bahia Honda,CU,76.28,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
